	effi-briest-1	sum
,	270	270
.	133	133
und	125	125
«	69	69
»	69	69
die	62	62
nicht	39	39
ich	36	36
in	33	33
so	33	33
sie	32	32
das	31	31
es	30	30
ist	30	30
er	30	30
der	29	29
aber	28	28
?	27	27
von	27	27
was	26	26
ein	24	24
du	24	24
auf	23	23
auch	22	22
zu	22	22
effi	21	21
wie	20	20
war	20	20
den	20	20
doch	19	19
mit	17	17
hier	17	17
;	17	17
ja	16	16
sich	15	15
mama	15	15
wieder	15	15
eine	15	15
noch	15	15
nun	14	14
sagte	13	13
an	13	13
immer	12	12
ihr	12	12
dem	12	12
wir	11	11
wenn	11	11
einen	11	11
:	11	11
dann	10	10
nur	10	10
daß	10	10
schon	10	10
als	9	9
aus	9	9
denn	9	9
nach	9	9
während	8	8
mir	8	8
da	8	8
hertha	8	8
bei	8	8
hulda	8	8
hat	8	8
–	7	7
innstetten	7	7
kann	7	7
...	7	7
man	7	7
nein	6	6
erst	6	6
alles	6	6
kam	6	6
drüben	6	6
einer	6	6
dabei	6	6
davon	6	6
des	6	6
wohl	6	6
weil	6	6
um	6	6
mich	6	6
sein	6	6
baron	6	6
ganz	6	6
tüte	5	5
will	5	5
eigentlich	5	5
's	5	5
alle	5	5
diesem	5	5
landrat	5	5
nichts	5	5
warum	5	5
drei	5	5
wurde	5	5
frau	5	5
vom	5	5
machen	5	5
habe	5	5
wäre	5	5
zeit	5	5
kein	5	5
oder	5	5
am	5	5
einem	5	5
paar	5	5
hatte	4	4
seitenflügel	4	4
wilke	4	4
haben	4	4
dich	4	4
bist	4	4
tochter	4	4
ihre	4	4
her	4	4
euch	4	4
sagt	4	4
papa	4	4
etwas	4	4
diesen	4	4
eben	4	4
kleine	4	4
fräulein	4	4
übrigens	4	4
alte	4	4
mutter	3	3
gute	3	3
singen	3	3
dame	3	3
sagtest	3	3
glaube	3	3
gesagt	3	3
waren	3	3
entsagung	3	3
arme	3	3
rondell	3	3
jeden	3	3
also	3	3
kommt	3	3
diese	3	3
über	3	3
seinem	3	3
gleich	3	3
kleinen	3	3
mädchen	3	3
mehr	3	3
kirchhofsmauer	3	3
mußt	3	3
deren	3	3
kriege	3	3
hin	3	3
gut	3	3
vielleicht	3	3
schuld	3	3
boot	3	3
seinen	3	3
tisch	3	3
keine	3	3
vor	3	3
geschichte	3	3
garten	3	3
freilich	3	3
sonst	3	3
genommen	3	3
vier	3	3
natürlich	3	3
schwantikow	3	3
ihrer	3	3
im	3	3
tat	3	3
gibt	3	3
ihn	3	3
heute	3	3
ihm	3	3
andere	3	3
sei	3	3
alten	3	3
tag	3	3
stachelbeeren	3	3
augen	3	3
rasch	3	3
muß	3	3
wollen	3	3
geert	3	3
unter	3	3
sehr	3	3
heißt	3	3
briest	3	3
deine	3	3
viel	3	3
fleißig	2	2
bleiben	2	2
jeder	2	2
zwei	2	2
saßen	2	2
augenblick	2	2
dafür	2	2
stickerei	2	2
alt	2	2
meinst	2	2
lagen	2	2
versenkt	2	2
gebot	2	2
seite	2	2
großen	2	2
gegen	2	2
kessin	2	2
sagen	2	2
legte	2	2
fliesengang	2	2
wollte	2	2
bein	2	2
glaub	2	2
augenblicke	2	2
junge	2	2
wegen	2	2
liegt	2	2
jungen	2	2
halb	2	2
klitzing	2	2
sonnenuhr	2	2
würde	2	2
trotzdem	2	2
nahm	2	2
hohen-cremmen	2	2
gönnen	2	2
dürfen	2	2
überhaupt	2	2
gerade	2	2
anderen	2	2
herrenhauses	2	2
teich	2	2
oft	2	2
schaukel	2	2
komme	2	2
allerlei	2	2
bertha	2	2
leben	2	2
namen	2	2
zwischen	2	2
meine	2	2
badeort	2	2
vierte	2	2
je	2	2
arbeit	2	2
weit	2	2
flut	2	2
sah	2	2
einfällt	2	2
wissen	2	2
auge	2	2
hopp	2	2
viertel	2	2
dank	2	2
damen	2	2
wenigstens	2	2
front	2	2
sind	2	2
möchtest	2	2
eisentür	2	2
erzählte	2	2
mußte	2	2
liebsten	2	2
lief	2	2
gnädige	2	2
liebe	2	2
liebesgeschichte	2	2
nachher	2	2
bißchen	2	2
freund	2	2
sicher	2	2
schöne	2	2
offener	2	2
ab	2	2
eines	2	2
gott	2	2
große	2	2
›wohl	2	2
gartenseite	2	2
zwanzig	2	2
leicht	2	2
beinah	2	2
ihren	2	2
soll	2	2
fiel	2	2
weiß	2	2
hauptsache	2	2
schlimm	2	2
nie	2	2
ehe	2	2
schlusen	2	2
›u‹	2	2
wißt	2	2
schaffen	2	2
weiter	2	2
kind	2	2
allem	2	2
besser	2	2
willst	2	2
soviel	2	2
langsam	2	2
sollen	2	2
schatten	2	2
vermeldete	1	1
toilette	1	1
begann	1	1
dies	1	1
vorfahren	1	1
herr	1	1
eins	1	1
mache	1	1
bestellen	1	1
rechter	1	1
bitten	1	1
ließe	1	1
familienfaktotum	1	1
haus-	1	1
briestsche	1	1
abzuräumen	1	1
erschien	1	1
komisches	1	1
arbeitstisch	1	1
freundschaft	1	1
griff	1	1
zunächst	1	1
bellingsche	1	1
mensch	1	1
vettern	1	1
entfernte	1	1
innstettens	1	1
nehmen	1	1
verwandte	1	1
wiedersehn	1	1
verwandtschaft	1	1
ähnliches	1	1
bloß	1	1
mittag	1	1
sache	1	1
ausgeschlagen	1	1
unsere	1	1
stachelbeerschalen	1	1
zeitungsblatt	1	1
adeligen	1	1
kantors	1	1
suchen	1	1
erwartet	1	1
anlehnung	1	1
beständig	1	1
schienen	1	1
wiedersehen	1	1
weshalb	1	1
mädchentagen	1	1
besuch	1	1
nämlich	1	1
gegangen	1	1
blöden	1	1
vertrieben	1	1
seid	1	1
langweilige	1	1
stemmte	1	1
sinn	1	1
danach	1	1
wenigsten	1	1
freundinnen	1	1
mecklenburgischen	1	1
landsmann	1	1
lieblingsdichter	1	1
vorbilde	1	1
vorspringenden	1	1
blondine	1	1
lymphatische	1	1
eingebildet	1	1
langweilig	1	1
beiden	1	1
damenhafter	1	1
einziges	1	1
niemeyers	1	1
pastor	1	1
niemeyer	1	1
dritte	1	1
gegeben	1	1
zwillingen	1	1
eigenen	1	1
lining	1	1
mining	1	1
haus	1	1
unglückliche	1	1
erinnerungen	1	1
mitten	1	1
reim	1	1
irgendwas	1	1
sagst	1	1
trauriges	1	1
zipfel	1	1
fassen	1	1
tischdecke	1	1
zusammengeraffte	1	1
gedanken	1	1
aufbrechen	1	1
seine	1	1
gingen	1	1
etwa	1	1
unser	1	1
daus	1	1
is	1	1
schmunzelte	1	1
begraben	1	1
trauervokal	1	1
litanei	1	1
ernstlich	1	1
macht	1	1
vermied	1	1
sehen	1	1
erzählt	1	1
großvaters	1	1
belling	1	1
großvater	1	1
meinem	1	1
hierherum	1	1
gütern	1	1
verkehrte	1	1
rathenowern	1	1
stand	1	1
!	1	1
fange	1	1
zufrieden	1	1
gib	1	1
ferienreise	1	1
see	1	1
trauerzug	1	1
knüpfen	1	1
schlug	1	1
dort	1	1
stiegen	1	1
bewegung	1	1
steg	1	1
setzten	1	1
versinken	1	1
stein	1	1
vetternreise	1	1
neckt	1	1
langen	1	1
kennt	1	1
gar	1	1
dazu	1	1
vater	1	1
dein	1	1
men	1	1
hohen-crem	1	1
vorgestern	1	1
angekettelte	1	1
ließen	1	1
kiesel	1	1
beschwerte	1	1
mach	1	1
feierlich	1	1
hineintun	1	1
anstimmte	1	1
geographiestunde	1	1
holzapfel	1	1
kandidat	1	1
uns	1	1
dabeigewesen	1	1
konstantinopel	1	1
lachte	1	1
untreue	1	1
worden	1	1
frauen	1	1
früher	1	1
wobei	1	1
niedergleiten	1	1
unterschied	1	1
zwei-	1	1
recht	1	1
deines	1	1
hundertsten	1	1
ernsthaft	1	1
ist.‹	1	1
blond	1	1
brünett	1	1
›nein	1	1
verheiraten.‹	1	1
älteste	1	1
gewiß	1	1
nu	1	1
meines	1	1
bricht	1	1
nimm	1	1
läßt	1	1
anfangen	1	1
eh	1	1
gepackt	1	1
korb	1	1
aufs	1	1
tausendste	1	1
vergesse	1	1
brichst	1	1
versuchen	1	1
schicksal	1	1
polterabend	1	1
möglich‹	1	1
zuletzt	1	1
möglich	1	1
ach	1	1
heißen	1	1
pikiert	1	1
lacht	1	1
lachten	1	1
allerdings	1	1
romantisch	1	1
sonderbar	1	1
breche	1	1
oh	1	1
ende	1	1
docken	1	1
strafpredigt	1	1
kritische	1	1
umherliegen	1	1
falle	1	1
mal	1	1
denkt	1	1
bestätigte	1	1
zusprach	1	1
brechen	1	1
könne	1	1
pflücken	1	1
überall	1	1
ordnung	1	1
leiden	1	1
beiseite	1	1
daraus	1	1
zeitungsbeilage	1	1
lege	1	1
weg	1	1
schalen	1	1
wirf	1	1
gegenseitig	1	1
dreimal	1	1
gebrochen	1	1
richtiges	1	1
helft	1	1
lieblingssätzen	1	1
papas	1	1
männlich‹	1	1
männer	1	1
weiblich	1	1
›weiber	1	1
männlich	1	1
figur	1	1
gesehen	1	1
mamas	1	1
wundern	1	1
werdet	1	1
können	1	1
hinterher	1	1
neue	1	1
ausgleiten	1	1
hochmut	1	1
fall	1	1
gouvernante	1	1
ängste	1	1
grüßten	1	1
zuschritten	1	1
entlang	1	1
kiesweg	1	1
eintraten	1	1
angebrachten	1	1
damit	1	1
fortzufahren	1	1
sorgen	1	1
geborne	1	1
äußerung	1	1
willens	1	1
gesellschaft	1	1
ohnehin	1	1
reuter	1	1
tun	1	1
fritz	1	1
skandinavien	1	1
sonnenschirmen	1	1
herüber	1	1
eilten	1	1
dieser	1	1
fand	1	1
gabriel	1	1
engel	1	1
erwarte	1	1
sieht	1	1
husaren	1	1
jahnke	1	1
eingeschworenen	1	1
beleidigen	1	1
leisten	1	1
stunde	1	1
halbe	1	1
ihnen	1	1
lud	1	1
fragen	1	1
küssen	1	1
hand	1	1
hansa	1	1
vergißt	1	1
paßten	1	1
heldin	1	1
jahre	1	1
wette	1	1
gilt	1	1
›fräulein	1	1
ventivegni	1	1
neulich	1	1
bange	1	1
bald	1	1
fehlte	1	1
warte	1	1
darauf	1	1
denkst	1	1
meinetwegen	1	1
eher	1	1
verheiraten	1	1
hoffe	1	1
jungfer	1	1
hochzeit.‹	1	1
held	1	1
vorzüglich	1	1
erzählen	1	1
laune	1	1
sommersprossen	1	1
haar	1	1
rotblondem	1	1
krausem	1	1
persönchen	1	1
rundliche	1	1
allein	1	1
wirklich	1	1
jugend	1	1
hinauf	1	1
steintreppe	1	1
führende	1	1
stieg	1	1
gehabt	1	1
volk	1	1
junges	1	1
wen	1	1
fest	1	1
kommen	1	1
bewölktem	1	1
wo	1	1
tagen	1	1
bietenden	1	1
gartenstühlen	1	1
zerstreuung	1	1
zugleich	1	1
angenehmen	1	1
himmel	1	1
gewährte	1	1
indica	1	1
rampe	1	1
besetzte	1	1
dessen	1	1
hufeisen	1	1
umschließendes	1	1
großes	1	1
warf	1	1
besetztes	1	1
sonne	1	1
niederbrannte	1	1
entschieden	1	1
bevorzugt	1	1
füßen	1	1
häupten	1	1
brett	1	1
gelegtes	1	1
horizontal	1	1
gewahr	1	1
daneben	1	1
dicht	1	1
angeketteltem	1	1
wassersteg	1	1
teiches	1	1
mächtige	1	1
platanen	1	1
aloekübeln	1	1
aufenthalt	1	1
hauses	1	1
besonders	1	1
rhabarberstauden	1	1
canna	1	1
handflächen	1	1
stehende	1	1
neuerdings	1	1
blitzenden	1	1
schindelturm	1	1
hinter	1	1
lage	1	1
unterbrochene	1	1
weißgestrichenen	1	1
stelle	1	1
efeu	1	1
rande	1	1
kleinblättrigem	1	1
entsprechend	1	1
genau	1	1
vollen	1	1
liegenden	1	1
ihrem	1	1
gezogenen	1	1
kopf	1	1
vergoldeten	1	1
wetterhahn	1	1
aufragte	1	1
fronthaus	1	1
mitte	1	1
seiner	1	1
hinaus	1	1
schritte	1	1
quadrierten	1	1
grün	1	1
breiten	1	1
angebauter	1	1
rechtwinklig	1	1
heller	1	1
sonnenschein	1	1
park-	1	1
einige	1	1
richtung	1	1
ziergarten	1	1
hohen-cremmener	1	1
bildeten	1	1
stricken	1	1
hing	1	1
pfosten	1	1
umarmte	1	1
breiter	1	1
matrosenkragen	1	1
aufblickende	1	1
küßte	1	1
müssen	1	1
werden	1	1
zurief	1	1
schlanke	1	1
mitunter	1	1
balkenlage	1	1
links	1	1
denk	1	1
abwechselnd	1	1
reite	1	1
erhoben	1	1
schoß	1	1
kurfürst	1	1
goetzes	1	1
dir	1	1
nacken	1	1
schulter	1	1
frei	1	1
paarte	1	1
seit	1	1
hättest	1	1
taille	1	1
übermut	1	1
wilhelm	1	1
stürmisch	1	1
kunstreiterin	1	1
beunruhige	1	1
wer	1	1
luft	1	1
leidenschaftlich	1	1
wem	1	1
wild	1	1
hals	1	1
trapez	1	1
hab	1	1
oberst	1	1
setze	1	1
gefallen	1	1
courmacher	1	1
klugheit	1	1
drehungen	1	1
onkel	1	1
turnerischen	1	1
rechts	1	1
hänger	1	1
lebenslust	1	1
herzensgüte	1	1
verrieten	1	1
gab	1	1
dorfstraße	1	1
ledergürtel	1	1
bronzefarbener	1	1
standen	1	1
versteckend	1	1
stehend	1	1
schief	1	1
natürliche	1	1
steckst	1	1
lassen	1	1
staatskleider	1	1
herüberkommen	1	1
rathenower	1	1
kurze	1	1
backfisch	1	1
höher	1	1
kleider	1	1
handbreit	1	1
georg	1	1
jungenskittel	1	1
selber	1	1
nannte	1	1
lachen	1	1
grazie	1	1
lachenden	1	1
machst	1	1
knicks	1	1
braunen	1	1
hoch	1	1
hebend	1	1
jung	1	1
pommern	1	1
perlebergern	1	1
hätten	1	1
statt	1	1
)	1	1
herum	1	1
(	1	1
sogar	1	1
hinterpommern	1	1
fort	1	1
halte	1	1
strecke	1	1
hübsche	1	1
gegend	1	1
unserer	1	1
kenne	1	1
kreise	1	1
kessiner	1	1
kaiser	1	1
krieg	1	1
gekommen	1	1
sage	1	1
könntet	1	1
studieren	1	1
juristerei	1	1
fing	1	1
abschied	1	1
kurz	1	1
friedenszeit	1	1
gewesen	1	1
verleidet	1	1
damals	1	1
soldatenleben	1	1
ganze	1	1
nähe	1	1
länger	1	1
mochte	1	1
gemacht	1	1
versuch	1	1
erwarten	1	1
stücke	1	1
bismarck	1	1
dastand	1	1
zurück	1	1
schönes	1	1
achtunddreißig	1	1
geradeso	1	1
freunde	1	1
dürft	1	1
übelnehmen	1	1
versteht	1	1
desto	1	1
adelige	1	1
akten	1	1
freuen	1	1
unterbrach	1	1
besinnen	1	1
endlich	1	1
langes	1	1
ritterschaftsrat	1	1
einfand	1	1
mein	1	1
alter	1	1
namentlich	1	1
aussieht	1	1
findet	1	1
saß	1	1
schneidig	1	1
kreuz	1	1
regiment	1	1
anders	1	1
bin	1	1
jetzt	1	1
wüßte	1	1
unsinn	1	1
kannst	1	1
verlieben	1	1
würd	1	1
leutnant	1	1
junger	1	1
unpassend	1	1
fein	1	1
weghat	1	1
›wahren	1	1
biereifer‹	1	1
siebziger	1	1
finde	1	1
blau	1	1
trug	1	1
berechtigt	1	1
stolzes	1	1
verstohlen	1	1
mütterlichen	1	1
regung	1	1
welcher	1	1
eigenes	1	1
trat	1	1
entzückend	1	1
zeigen	1	1
familie	1	1
kursus	1	1
streckungen	1	1
rücken	1	1
hochparterre	1	1
galt	1	1
gestreiftes	1	1
kittelartiges	1	1
leinwandkleid	1	1
zusammengezogener	1	1
hingab	1	1
besonderer	1	1
übungen	1	1
komische	1	1
handarbeit	1	1
ins	1	1
wenig	1	1
absichtlich	1	1
bewohnten	1	1
ersichtlich	1	1
durchzumachen	1	1
zimmergymnastik	1	1
heil-	1	1
zusammenlegte	1	1
flüchtig	1	1
ganzen	1	1
voll	1	1
altarteppichs	1	1
zusammenzusetzenden	1	1
einzelquadraten	1	1
erhob	1	1
nadel	1	1
führte	1	1
rufnamen	1	1
ließ	1	1
ging	1	1
runden	1	1
majolikaschale	1	1
gefüllte	1	1
schönen	1	1
dessertteller	1	1
lunch	1	1
dazwischen	1	1
durcheinander	1	1
bunt	1	1
sehe	1	1
behalte	1	1
schien	1	1
nieder	1	1
kunstgerechten	1	1
herstellung	1	1
beugungen	1	1
beide	1	1
hinaufführten	1	1
seitenflügels	1	1
steinstufen	1	1
wollsträhnen	1	1
treppe	1	1
vorspringende	1	1
neben	1	1
fenster	1	1
umrankte	1	1
wein	1	1
wildem	1	1
offene	1	1
ungezählte	1	1
seidendocken	1	1
mittagsstille	1	1
wollnadel	1	1
töchter	1	1
